"complaint_id","customer_id","product_id","complaint_description","resolution_description","complaint_date","resolution_date"
"1","1002","3002","The room was not ready at check-in time.","Provided a free room upgrade and complimentary dinner.","2024-10-03","2024-10-04"
"2","1005","2005","Flight delayed by 3 hours without any notice.","Issued a partial refund and a voucher for future flights.","2024-10-05","2024-10-06"
"3","1006","4004","Car was not available at the pick-up location.","Arranged for a different vehicle within 30 minutes.","2024-10-06","2024-10-07"
"4","1003","3003","Room was not cleaned properly.","Sent housekeeping to clean the room again.","2024-10-04","2024-10-04"
"5","1001","5001","Long queue at the entrance of the attraction.","Offered fast-track entry for the next visit.","2024-10-03","2024-10-04"
"6","1012","2007","Flight was delayed without prior notice.","Provided a flight voucher for future travel.","2024-12-16","2024-12-17"
"7","1013","3008","Room service was unresponsive.","Offered a complimentary dinner.","2024-12-23","2024-12-24"
"8","1014","5009","Attraction was overcrowded and disorganized.","Issued a partial refund and priority access for next visit.","2024-11-29","2024-11-30"
"9","1015","2010","Lost luggage during flight transfer.","Assisted in retrieving luggage and provided compensation.","2024-12-06","2024-12-07"
"10","1002","3002","Air conditioning not working in hotel room.","Upgraded to a suite at no extra charge.","2024-10-04","2024-10-05"