"feedback_id","customer_id","product_id","feedback_text","feedback_date"
"1","1001","2001","The flight was great, and the in-flight service was excellent.","2024-10-02"
"2","1002","3002","The hotel had a nice view of the city skyline.","2024-10-04"
"3","1003","5003","Loved the guided tour. The guide was very knowledgeable.","2024-10-05"
"4","1005","3005","The hotel was fine, but the breakfast options were limited.","2024-10-06"
"5","1006","4004","The car rental experience was smooth and hassle-free.","2024-10-07"
"6","1011","4006","Car rental was easy and the vehicle was in excellent condition.","2024-11-09"
"7","1012","4007","Smooth car rental process in Seoul.","2024-12-19"
"8","1013","4008","The SUV was perfect for our family trip.","2024-12-25"
"9","1014","4009","Convenient pick-up and drop-off locations.","2024-11-30"
"10","1015","4010","Car rental in Beijing was efficient and affordable.","2024-12-10"