"payment_id","customer_id","product_id","transaction_date","amount","payment_method","status"
"13","1011","5006","2024-11-03","40.00","Credit Card","Completed"
"14","1011","4006","2024-11-04","120.00","Credit Card","Completed"
"17","1012","5007","2024-12-17","30.00","PayPal","Completed"
"18","1012","4007","2024-12-18","110.00","PayPal","Completed"
"19","1013","2008","2024-12-20","550.00","Credit Card","Completed"
"20","1013","3008","2024-12-21","700.00","Credit Card","Completed"
"21","1013","5008","2024-12-22","60.00","Credit Card","Completed"
"22","1013","4008","2024-12-23","130.00","Credit Card","Completed"
"23","1014","2009","2024-11-25","300.00","Bank Transfer","Completed"
"24","1014","3009","2024-11-26","550.00","Bank Transfer","Completed"
"25","1014","5009","2024-11-27","25.00","Bank Transfer","Completed"
"26","1014","4009","2024-11-28","100.00","Bank Transfer","Completed"
"27","1015","2010","2024-12-05","500.00","Credit Card","Completed"
"28","1015","3010","2024-12-06","650.00","Credit Card","Completed"
"29","1015","5010","2024-12-07","70.00","Credit Card","Completed"
"30","1015","4010","2024-12-08","125.00","Credit Card","Completed"
"32","1012","","2024-12-15","850.00","PayPal","Completed"
"33","1013","","2024-12-20","1150.00","Credit Card","Completed"
"34","1014","","2024-11-25","800.00","Bank Transfer","Completed"
"35","1015","","2024-12-05","1000.00","Credit Card","Completed"
"11","1011","2006","2024-12-10","450.00","Credit Card","Completed"
"15","1012","2007","2024-12-27","400.00","PayPal","Completed"
"12","1011","3006","2024-12-15","600.00","Credit Card","Completed"
"16","1012","3007","2024-12-30","500.00","PayPal","Completed"
"1","1001","2001","2024-02-06","150.00","Credit Card","Completed"
"2","1002","3002","2024-02-06","250.00","PayPal","Completed"
"31","1011","","2024-02-06","950.00","Credit Card","Completed"
"3","1003","5003","2024-04-12","15.00","Bank Transfer","Completed"
"4","1004","2004","2024-04-13","155.00","Credit Card","Refunded"
"5","1005","3005","2024-05-03","220.00","Credit Card","Completed"
"6","1006","4004","2024-05-04","90.00","Credit Card","Completed"
"7","1007","3001","2024-09-25","300.00","PayPal","Pending"
"8","1008","2005","2024-09-26","125.00","Credit Card","Completed"
"9","1009","5001","2024-11-28","80.00","Bank Transfer","Completed"
"10","1010","2002","2024-11-29","120.00","Credit Card","Completed"