"pricing_id","product_id","price","effective_date"
"1","2001","150.00","2024-09-01"
"2","2002","120.00","2024-09-01"
"3","2003","130.00","2024-09-01"
"4","2004","155.00","2024-09-01"
"5","2005","125.00","2024-09-01"
"6","3001","300.00","2024-09-01"
"7","3002","250.00","2024-09-01"
"8","3003","200.00","2024-09-01"
"9","3004","180.00","2024-09-01"
"10","3005","220.00","2024-09-01"
"11","4001","80.00","2024-09-01"
"12","4002","100.00","2024-09-01"
"13","4003","60.00","2024-09-01"
"14","4004","90.00","2024-09-01"
"15","4005","85.00","2024-09-01"
"16","5001","80.00","2024-09-01"
"17","5002","30.00","2024-09-01"
"18","5003","15.00","2024-09-01"
"19","5004","25.00","2024-09-01"
"20","5005","20.00","2024-09-01"
"21","2006","450.00","2024-10-01"
"22","2007","400.00","2024-10-01"
"23","2008","550.00","2024-10-01"
"24","2009","300.00","2024-10-01"
"25","2010","500.00","2024-10-01"
"26","3006","600.00","2024-10-01"
"27","3007","500.00","2024-10-01"
"28","3008","700.00","2024-10-01"
"29","3009","550.00","2024-10-01"
"30","3010","650.00","2024-10-01"
"31","4006","120.00","2024-10-01"
"32","4007","110.00","2024-10-01"
"33","4008","130.00","2024-10-01"
"34","4009","100.00","2024-10-01"
"35","4010","125.00","2024-10-01"
"36","5006","40.00","2024-10-01"
"37","5007","30.00","2024-10-01"
"38","5008","60.00","2024-10-01"
"39","5009","25.00","2024-10-01"
"40","5010","70.00","2024-10-01"